TRACT,RESPNUM_,SEX,EDUCATION,AGE,Xcoord0,Ycoord0,Xcoord1,Ycoord1
42101007800,701,1,3,21,-75.22056916553619,39.94795275360626,-75.21106898209227,39.94705489201466
42101007100,2966,1,1,59,-75.2240382148623,39.93700398258475,-75.22298389624552,39.939314393136215
42101007000,330,1,4,49,-75.21837158611348,39.93498317436207,-75.21936399318778,39.934643739232804
42101006900,3040,1,2,24,-75.21609179453317,39.93392763819641,-75.21483294189952,39.934853201655066
42101007200,2975,1,3,40,-75.23255426907215,39.94174997971704,-75.2298227087004,39.94354746438881
42101007800,2851,1,4,40,-75.21881632800545,39.94826573762045,-75.21590153541686,39.947105051475155
42101007400,3190,1,2,40,-75.21660997962127,39.939395272185784,-75.21653842224862,39.938898395729474
42101007100,231,1,3,19,-75.22533078482861,39.93643705798091,-75.22722229056046,39.9381584504292
42101007000,1686,1,4,73,-75.22064367821498,39.93546493453082,-75.21963241665343,39.93393815561103
42101007300,152,1,2,54,-75.22144784919995,39.943722674454534,-75.21979492026448,39.94287458517948
42101007100,2148,1,2,35,-75.22329725259583,39.9404886721615,-75.22215056565065,39.9402489383393
42101007200,3391,1,3,45,-75.23299573589482,39.94107960594261,-75.23414126971258,39.9415785578421
42101007200,2073,2,3,47,-75.22948076960813,39.946083975619906,-75.22971096985506,39.94567042758515
42101007200,2324,2,2,65,-75.23468075620401,39.94497530579068,-75.2384362928132,39.94514429065044
42101007800,1579,2,5,50,-75.21432005355334,39.948382656661444,-75.21492342419553,39.94746470484007
42101006900,1518,1,2,53,-75.22175139514779,39.93077324138182,-75.22110252390726,39.929496930726785
42101007200,808,2,5,64,-75.23081919487414,39.94573621060057,-75.22942686348833,39.943805797255585
42101007800,2425,1,5,54,-75.21963531762275,39.94697540071477,-75.2203296169476,39.94790284195615
42101007400,358,1,1,58,-75.2171993406916,39.94115337360293,-75.21205453963795,39.94211553013726
42101007800,3135,1,5,24,-75.21575624666619,39.94640369506708,-75.21153241775265,39.94575619146932
42101007000,2455,1,1,47,-75.21881545524684,39.93721304739381,-75.22182738382827,39.9379422858861
42101007400,1549,1,3,39,-75.21154386694134,39.940041264769675,-75.21184215243146,39.94429131067603
