TRACT,RESPNUM_,FIPS,SEX,EDUCATION,AGE,Xcoord0,Ycoord0,Xcoord1,Ycoord1
25,0072,421010072001,2,4,48,-75.23142661716653,39.945838492653,-75.23209905925454,39.946352905286496
2919,0073,421010073005,1,1,41,-75.22347006990366,39.94504578187015,-75.22357806056245,39.94473263592324
2371,0073,421010073001,1,2,67,-75.22200290947394,39.94363951832713,-75.21965985766984,39.942092930777534
2928,0074,421010074008,1,3,51,-75.21292162995051,39.94039694773066,-75.2159357791097,39.94201189193817
72,0078,421010078003,1,2,64,-75.22054840451788,39.94646742806468,-75.21872569471566,39.94533369497948
310,0070,421010070004,1,2,64,-75.22295661869667,39.933889191627664,-75.22373648771003,39.93573277988897
214,0078,421010078004,1,5,32,-75.21741038305703,39.94574751997368,-75.21600757384759,39.9462678402186
693,0078,421010078003,1,2,64,-75.2181302803625,39.94468548607561,-75.22031535101222,39.946764066628205
3134,0074,421010074008,1,3,69,-75.21576013126665,39.94050183630061,-75.21288535768322,39.94046290865496
2587,0073,421010073002,1,3,51,-75.22231489607232,39.94181974344172,-75.22249927899593,39.94229485636859
3058,0073,421010073002,2,3,29,-75.22324644325371,39.94257204746293,-75.2232040440066,39.94229605791966
687,0071,421010071004,1,1,33,-75.23039083938559,39.93790712512854,-75.23003858038184,39.93839600291004
2253,0070,421010070004,1,2,54,-75.22463189406783,39.93519385443993,-75.22381746188562,39.93403442255826
3188,0070,421010070004,1,2,75,-75.22377998954983,39.934449703042,-75.22441032983566,39.93473485989738
802,0070,421010070004,1,2,57,-75.22395876413091,39.93446205680729,-75.22533191522098,39.935118214987284
661,0074,421010074007,1,2,71,-75.2166519608353,39.942846869684686,-75.21507518206967,39.942864663745276
71,0074,421010074006,1,2,25,-75.21628500504028,39.93980675309641,-75.21627002442216,39.93856926148131
3128,0071,421010071004,2,1,52,-75.2306417124635,39.93753251365675,-75.2296364475783,39.93681997348403
2920,0078,421010078001,1,4,22,-75.210241045882,39.94669806375114,-75.21312444475134,39.944766791147686
337,0074,421010074008,1,3,43,-75.21648570800336,39.94017540079762,-75.21424034177198,39.939398637736474
82,0070,421010070004,1,2,19,-75.22502602928351,39.935339193770005,-75.2241734657053,39.93566370930794
1757,0071,421010071001,1,2,73,-75.22415460403239,39.93906657960866,-75.22153057865603,39.940110000069765
3086,0078,421010078004,1,5,42,-75.21856138423365,39.94728838440541,-75.21842960231908,39.947537543894725
90,0077,421010077001,2,5,30,-75.20934130828998,39.948470572091544,-75.20958853753027,39.94709454188401
1848,0070,421010070004,1,2,46,-75.22290913279684,39.934439534329464,-75.22407737429148,39.93451065921241
3003,0072,421010072001,2,2,49,-75.23209498821328,39.947227069161784,-75.22994280415203,39.946397188094934
1732,0074,421010074006,1,2,52,-75.21632493849219,39.9393584661022,-75.21641420479354,39.9390947346989
2455,0070,421010070006,1,1,47,-75.2216339256057,39.937482963210975,-75.22014642945425,39.93540000803115
2689,0069,421010069001,1,2,50,-75.21044374529808,39.933621061602125,-75.20837719875651,39.93215886639658
1373,0078,421010078005,1,3,44,-75.21239498057294,39.94693305048531,-75.21303650880033,39.946936483829994
264,0074,421010074002,1,5,58,-75.21360454207516,39.943850839671654,-75.21116218043431,39.94269756305627
2361,0072,421010072006,1,1,74,-75.23664063835882,39.94493402142945,-75.2358573437687,39.94434810667479
2331,0071,421010071008,1,5,40,-75.22525104298519,39.94008328415353,-75.22644015012065,39.94170550522806
167,0072,421010072007,1,2,52,-75.23344306289219,39.94385827909187,-75.23449048386838,39.942767679088355
2914,0072,421010072001,1,4,48,-75.23130292450513,39.94684932770031,-75.23329469204687,39.946090967887656
1505,0071,421010071004,1,1,53,-75.2280066979236,39.93878817993106,-75.2298873023047,39.9395726326824
2223,0070,421010070004,1,2,60,-75.22336161077081,39.933591936785895,-75.22466126867765,39.934773932380494
2258,0077,421010077001,2,4,34,-75.20861858806018,39.947981371075365,-75.20572390581304,39.949532776192235
1639,0073,421010073002,1,4,52,-75.2220921645024,39.942911180809894,-75.22438045642184,39.94313565722653
2097,0071,421010071004,1,4,63,-75.22915203875469,39.93813105665388,-75.22931016099051,39.937534300782445
2838,0072,421010072007,1,3,78,-75.23120567588492,39.94493206260503,-75.2349855252221,39.94323196019346
1323,0070,421010070006,1,1,35,-75.2223888814994,39.936542589545525,-75.22260753781428,39.93642549982051
187,0072,421010072007,1,2,28,-75.23403622305756,39.9434801087022,-75.23206764316123,39.94322195951717
357,0070,421010070004,1,2,72,-75.22269506571894,39.93362731020182,-75.22492609670999,39.93494028261266
2586,0074,421010074006,1,2,49,-75.21896224751553,39.93864727945338,-75.21640423945802,39.938853754279336
2372,0078,421010078004,1,5,49,-75.21873682203285,39.94600479418534,-75.21777615197955,39.94660335768804
2878,0077,421010077001,2,4,23,-75.20901662328087,39.94849427307703,-75.21042126371474,39.948881118366266
341,0074,421010074006,1,2,58,-75.21732371420492,39.94041314880843,-75.21667582938862,39.939246420932626
315,0069,421010069001,1,2,28,-75.211213060354,39.92875419233554,-75.21426657822217,39.928304566410084
2593,0078,421010078004,1,5,48,-75.21810241072116,39.945468991363946,-75.21724381280008,39.945499863001615
1598,0073,421010073002,1,5,63,-75.22165368940148,39.94244016601386,-75.22175240784874,39.94206797594873
3211,0073,421010073001,2,2,76,-75.2200842747165,39.94195130718831,-75.21914174823029,39.94234154843676
796,0073,421010073002,1,2,40,-75.22122645086077,39.941575604581345,-75.22183743017432,39.94189285489507
2564,0074,421010074008,1,3,52,-75.21297266665813,39.94018907339843,-75.21511387800321,39.940211052303134
829,0077,421010077001,1,3,23,-75.20712567772118,39.94807203181394,-75.20671713384479,39.9488549590725
738,0074,421010074008,2,3,52,-75.21616340475033,39.94031961404302,-75.21316642232826,39.940758897814156
3267,0071,421010071004,2,4,44,-75.228113824472,39.93923611305152,-75.22826842518123,39.93894545219636
2873,0078,421010078005,2,3,42,-75.21231479684745,39.948103390897664,-75.21381801383976,39.947773484250085
3008,0078,421010078005,2,3,54,-75.2135092343402,39.947722285030466,-75.21280875649768,39.9481419683046
2139,0070,421010070001,1,3,60,-75.22167907997493,39.93785358310588,-75.22081310407735,39.93709174415232
749,0070,421010070005,1,4,78,-75.22168317222683,39.934227085084395,-75.2205392675603,39.934008868183604
3187,0074,421010074006,1,2,39,-75.2167723740975,39.94035112341263,-75.21703620954476,39.94031958312732
1929,0074,421010074006,1,2,56,-75.21547099467976,39.93890363538863,-75.21868430466303,39.93990967683965
2492,0069,421010069001,1,2,58,-75.21181102408019,39.92810045111388,-75.20731719926962,39.93376552728052
1469,0073,421010073002,2,2,53,-75.22052054173524,39.941337561716544,-75.22306009757907,39.943002644290914
1553,0069,421010069001,1,2,54,-75.21241318814677,39.93116666674473,-75.21028909360398,39.92942714000049
1903,0071,421010071002,1,3,55,-75.2244119507103,39.9371413106871,-75.22567368308788,39.93824426790829
2469,0078,421010078001,2,2,78,-75.2138138232878,39.945112146062485,-75.21284016841415,39.944910265407884
1355,0069,421010069001,1,1,54,-75.21301693503929,39.927344309921736,-75.21071933051141,39.932781122674285
734,0071,421010071001,1,2,75,-75.22437771354073,39.93884998818964,-75.22208730054193,39.93817566529551
1574,0069,421010069002,2,2,29,-75.21573052984297,39.928599099867334,-75.21747063734571,39.93079895529104
1399,0078,421010078005,1,3,58,-75.21446442001658,39.94757475590201,-75.21572416119957,39.94781099059241
279,0078,421010078004,1,5,27,-75.21763216591998,39.945789795658094,-75.21779195141342,39.94811408141523
2963,0070,421010070001,1,3,58,-75.22023397485148,39.937557351999274,-75.22127004975756,39.938504949205985
2069,0073,421010073005,1,1,59,-75.22395182381386,39.944795333760105,-75.22163227647363,39.94557620401544
1327,0074,421010074006,1,2,33,-75.21759093495791,39.9401784540248,-75.21851364306546,39.938936740209684
217,0071,421010071007,1,2,60,-75.22397847849919,39.94065039238969,-75.22717417902226,39.94419994617701
3206,0071,421010071004,1,4,48,-75.230367931487,39.93754769839259,-75.22793931915508,39.93800977777452
55,0073,421010073002,2,5,49,-75.22235468073008,39.94207893176838,-75.22288640672453,39.94280178710067
183,0070,421010070006,1,1,69,-75.22302289365707,39.9369133719113,-75.21978065104807,39.93545528057581
1508,0072,421010072002,1,3,55,-75.22703621583402,39.944924303636284,-75.22855283888593,39.944759348276136
2971,0072,421010072007,1,2,58,-75.23123968894595,39.94416064078655,-75.23119578258311,39.94497552566401
119,0070,421010070001,1,3,54,-75.22017756013136,39.93830935021032,-75.21939172305304,39.93753322176834
786,0074,421010074008,2,2,72,-75.2134911532377,39.940118432820434,-75.2150828075692,39.94090686110253
2095,0069,421010069002,1,2,66,-75.21745221688805,39.931578535664414,-75.21827066848692,39.93103587590118
928,0073,421010073002,1,2,49,-75.2235751975513,39.94243322911684,-75.22304494285527,39.94328752544768
3305,0071,421010071002,1,3,31,-75.22599597112995,39.93846019760164,-75.22691221420735,39.937829071234034
3484,0072,421010072006,1,1,58,-75.23465313392592,39.945526811549286,-75.23364023984927,39.944559523133044
1703,0070,421010070001,1,3,57,-75.21989925775024,39.938901980443774,-75.22039396966318,39.937627735385234
3624,0071,421010071001,1,2,75,-75.22175742013428,39.93954835527052,-75.22395342178098,39.93944355765902
2227,0071,421010071002,1,3,27,-75.22584044885875,39.93698837228864,-75.2245512975579,39.93630857533298
147,0069,421010069001,1,2,47,-75.21391251808512,39.9307165507071,-75.21216925163188,39.9262315192038
2601,0072,421010072001,1,4,66,-75.23176203472013,39.94583187826191,-75.2290597834842,39.945487896489574
2212,0073,421010073002,2,3,58,-75.221890726772,39.94109508447305,-75.22113965304067,39.941371871994676
1627,0074,421010074006,1,2,33,-75.21678586343864,39.939342273663236,-75.21950482193871,39.939443425621235
1451,0071,421010071007,1,2,35,-75.22626358531764,39.94423042817562,-75.22574287908851,39.94393651543994
3391,0072,421010072002,1,3,45,-75.22928618337207,39.94393188918218,-75.22886151344161,39.94379273909643
3085,0071,421010071002,1,3,48,-75.22437939812397,39.93711844456354,-75.22434915816208,39.938472403834766
152,0073,421010073002,1,2,54,-75.22284895164425,39.94344630290698,-75.22357211956013,39.94258849022659
2150,0069,421010069001,1,3,25,-75.21251493928264,39.92782012918925,-75.21386115836309,39.93185257795073
287,0074,421010074008,1,1,74,-75.21589199449504,39.94153706416044,-75.2151626441101,39.94217334526798
910,0078,421010078004,2,4,59,-75.21854873656173,39.94645525936622,-75.21535255861416,39.94660944219619
2608,0078,421010078004,2,4,37,-75.21643205790124,39.94743127038823,-75.21885977102404,39.947447572101545
104,0070,421010070006,1,1,88,-75.22081481197024,39.93629359026022,-75.219386576666,39.93574022664986
231,0071,421010071002,1,3,19,-75.22550513016041,39.9381514190073,-75.2244550851938,39.93875084906451
