AREAKEY,STATE,Xcoord1,Ycoord1,Xcoord2,Ycoord2
01001,01,973304.4381820625,1181563.2243827665,912170.2586422652,1136710.5487375609
01003,01,905220.7168855265,1336553.1088243718,921226.0116858947,1187364.683916962
01005,01,969550.8008185779,1118441.5083109878,985335.1361517368,1077751.4196853137
01007,01,966579.2621959622,1039291.736028786,860063.046970943,1212102.5531781055
01009,01,718144.3429897253,1150613.671624475,969805.3793465681,1066072.42781227
01011,01,775294.669146914,1064573.00284383,869978.3099408695,1332928.20974094
01013,01,779590.0061070074,1329330.9824960672,854926.0739998257,1247925.9644498783
01015,01,735536.5164229375,1272910.2385495338,807201.7249207585,954974.5761583461
01017,01,1017693.7273192855,1088636.9571702247,897240.8026611916,1120896.458029683
01019,01,759123.7365334018,891747.1112725926,1011927.5985806762,1037398.9089919921
01021,01,951713.3306402169,1227109.7057544764,789726.1806247346,1169987.1677381448
01023,01,843300.6284303113,1205794.0527087725,873612.9128378393,966089.8791525133
01025,01,769761.7694834275,1127575.2603711947,873915.4367718843,1291766.8741042688
01027,01,764123.1516090481,890745.4357889246,850939.2730206563,1358293.7131503522
01029,01,901056.5023956563,1254323.0035104097,828233.2444152434,995543.026022764
01031,01,737319.7167357092,1232714.4502160433,815173.7032573123,1119525.3610996662
01033,01,732330.9344690916,1001489.2920871503,877687.396910521,941760.0723041563
01035,01,761380.739284191,1340009.630599603,779610.1274043112,1260534.3889277373
01037,01,858584.1019102023,1104681.485314583,826808.6432088665,1036311.6603134447
01039,01,908397.8678181907,1015480.1676901579,883804.5563676934,1168298.461142257
01041,01,916230.061976311,1168343.1855069692,763055.6573862155,982229.9668802274
01043,01,760006.3678070719,989773.8161550814,757746.5099609005,1090130.5432544444
01045,01,750013.0987696797,905852.797498191,793189.0127541655,849148.3034764639
01047,01,880395.0467793894,988168.4700116548,942134.9946759254,956063.6522110677
01049,01,774733.7677761993,1156242.973433155,744723.7581996049,957063.0671770752
01051,01,773529.7587540606,1019114.7188446677,830578.9400820914,1045176.3786994927
01053,01,991357.1170675268,1187623.0068587854,926854.7828484881,1285525.539923226
01055,01,876377.54710325,1285921.4108649066,809161.0997527179,1298186.7825999055
01057,01,729862.3500309505,1271732.7450786235,819482.4246986473,1197042.2484025015
01059,01,744927.1001534815,1268343.3925412553,737490.3285765379,1224453.5674621002
01061,01,975968.8334826902,1161656.723805543,856267.3634811448,1036011.8227556895
01063,01,722928.1090154448,1017182.6325759005,790493.0196501233,875079.6659017724
01065,01,783239.9092030149,946152.4119027437,762559.9445137631,1278654.2781876945
01067,01,951524.0856542974,1086162.6104077413,723554.2084552723,1152273.1532290028
01069,01,987809.0856847957,1150592.214687032,992790.893564167,1081368.4940153298
01071,01,724225.6230878424,977419.989339482,919824.8494753449,1269091.1131707048
01073,01,759659.5447701314,1038257.0394047148,732183.6022261861,1334302.8377266498
01075,01,902644.5874299722,1335063.2480203935,903701.2815460971,1138914.8609669167
01077,01,804612.3207973812,1079698.7309427387,766232.4415811726,909247.6799189001
01079,01,952365.5719348942,1029342.1895759514,735404.7993432027,987112.2545340658
01081,01,747360.5773872925,1105153.6581121467,876266.0665003187,1287491.9017649707
01083,01,994034.3199894736,978628.0476150375,898857.1720277132,937182.7984576114
01085,01,880008.6753524658,1194043.432742552,825155.6345514235,1033245.3211224827
01087,01,954503.1966944427,1056365.820927339,720326.0256845391,1246236.7359673881
01089,01,876283.3786976221,1088257.7542425327,797788.7896079387,980592.3801824246
01091,01,797441.6836818293,1123818.9667225727,909343.9037536794,1207845.0822862617
01093,01,976034.8308978121,940444.5351567785,793545.8531825009,923748.2470649036
01095,01,856727.4779194209,1112564.0072454484,877646.1432706418,1224092.6129139287
01097,01,931862.7744397878,1164809.4669452864,934990.1954635367,1056918.036384696
01099,01,803888.0949314813,1269602.9954918008,913291.9933318999,1303752.6813382506
01101,01,966780.29174561,1140978.0461041285,849625.9082510332,1284988.2444676857
01103,01,738484.5128959735,943030.0910291369,854305.1309002503,1241004.7810838532
01105,01,728647.160494349,877788.9524785466,907091.3215243244,1225095.6457930675
01107,01,871299.9658979996,1299088.9035188165,766860.315827212,1263903.2935591852
01109,01,772600.9720283572,987259.0225128119,928846.2132689848,1089261.4937450176
01111,01,902309.6525307136,1059939.8940615023,814253.2472015143,954652.6084059145
01113,01,937041.3123570165,1026292.8686587773,987880.9972767517,1103916.800711214
01115,01,931271.3134198184,1126740.097297383,916971.1727916126,1055636.9053861557
01117,01,961649.0207709635,1173195.9352852898,744809.9438575872,1105840.6722616977
01119,01,909232.1167973304,1209198.717918403,904529.0785876963,1119173.196098825
01121,01,953317.4605986782,1119006.0884614913,955219.7130916596,1295867.1243776926
01123,01,961267.5744483836,1120008.0999960727,937003.7437130071,1047380.2852293457
01125,01,755315.1227730706,1201680.7323099552,809387.8606027721,1313005.7882989373
01127,01,817455.4059417793,1227315.730639594,804558.2502785899,1196012.4373694253
01129,01,899965.5701308805,1011763.7071395534,822446.5680525824,1022400.4612797801
01131,01,904706.1453221668,981880.3712459445,792147.8224490285,1011418.0478977521
01133,01,768361.7280437271,888875.0971642424,907286.9389638505,1368059.251267449
04001,04,-1397652.7643003173,1503717.1468882253,-1694263.0003292153,1292781.7399055148
04003,04,-1496946.2557707054,1657540.962677476,-1626947.5623762612,1185780.9861225188
04005,04,-1293049.2945040339,1458383.151357734,-1313356.1774358372,1025867.3855330565
04007,04,-1596709.9118743166,1275950.3943573302,-1350324.1501218262,1362794.0526731326
04009,04,-1328487.298521097,1188926.9485421663,-1176601.1787587674,1463026.70848323
04011,04,-1248210.3952101066,1319385.3218739408,-1412084.7789857471,1255435.3002215347
04012,04,-1513882.1552610036,1443198.6110666173,-1279594.6689467556,1302412.2182368902
04013,04,-1284463.4131963397,1138973.3731468676,-1509003.2835009126,1086161.3854855439
04015,04,-1181767.3751989128,1571164.2673414215,-1480194.212859626,1353846.029373928
04017,04,-1567149.147436443,1121729.4743186273,-1280330.8002099805,1060745.2845547847
04019,04,-1372056.2752426034,1223162.7562210984,-1665292.9648852092,1353468.643539437
04021,04,-1451519.1145561724,1541406.6063460708,-1349911.8126704579,1508623.5805057639
04023,04,-1226043.9028414101,1627934.593690945,-1664846.0739995383,1291555.406390584
04025,04,-1172298.2987969518,1473749.221025779,-1591971.5672305282,1614659.3348075107
04027,04,-1295650.0359104052,1053889.9390396704,-1406041.6059379324,1636913.0901002246
05001,05,311891.5660850167,1117442.0084754098,333787.96883190155,1128470.4308336067
05003,05,262391.3637327828,1345277.8821834344,302928.4728370138,1170988.818086151
05005,05,367363.0888849614,1433830.4688730214,411833.6436707881,1342196.1117438888
05007,05,161896.657958726,1470724.056335812,287411.4099380599,1443384.9966346156
05009,05,308480.9432835741,1349343.8435318922,316042.93588085845,1446458.1806141795
05011,05,268580.26073870866,1349766.7274229869,293934.8788409475,1134987.1980167583
05013,05,304644.18314631126,1363219.7796522072,241455.78308673727,1328307.9192748195
05015,05,477750.1432734027,1270012.2434204868,502868.9978493825,1452981.6874398822
05017,05,367181.7019149576,1500654.847700602,430444.37772761605,1502578.073211501
05019,05,179082.38847415373,1337257.8668168043,469845.90097561403,1289208.9488784417
05021,05,495163.315913938,1449581.343601626,152496.93435041554,1337847.8564346903
05023,05,502240.07152740104,1396993.7807028666,303713.06873504317,1406735.401014674
05025,05,267599.93091586715,1478292.5331813986,175248.71065170574,1471889.4421048344
05027,05,332910.6257161308,1301726.692034511,349292.78942715016,1406008.7739601773
05029,05,376208.87358357536,1363930.6104307096,268988.04895864247,1347268.093901513
05031,05,408106.848525799,1131029.4160465517,318653.26424334734,1393520.498836598
05033,05,465592.90918118285,1323200.086148106,495906.3921332527,1418832.4531911616
05035,05,267926.95896509185,1394298.398762066,280851.75281464227,1239240.972896489
05037,05,391798.2693574228,1385963.7438740146,168750.62143555697,1349173.2900954997
05039,05,152296.02303976117,1172535.1986224093,364256.1886701269,1309919.64837317
05041,05,514460.69371749874,1379131.885485775,279588.110140851,1135903.8587304319
05043,05,295760.7112812274,1121837.2210541423,432881.80962304753,1416952.8562159773
05045,05,376058.22558890434,1412145.511052559,273125.8102644681,1250980.1500807714
05047,05,339682.10025089537,1114726.5365435565,338836.6600401794,1302382.3981857023
05049,05,182076.7576190075,1394979.483035949,211797.0119605697,1220029.9169442174
05051,05,309701.26505771675,1438741.780973835,342426.9641435862,1216705.865227344
05053,05,267327.6053950381,1224252.695822049,131035.271021508,1483480.837504347
05055,05,414880.7719959632,1444212.9604527338,329742.52676554944,1352324.6927121014
05057,05,378442.18314142514,1491693.4615693667,411926.0683118048,1367580.9185746107
05059,05,163474.65703763423,1292451.9110058555,282375.7693724416,1270518.8414892852
05061,05,420419.52967303956,1186484.1014972187,496414.54514172993,1479234.2202397962
05063,05,224053.74516122363,1175564.5101887414,401277.5426774661,1471179.2082659295
05065,05,556620.2536386531,1435349.4770780187,309023.2627625491,1485910.5809159628
05067,05,362873.0349905108,1265625.7712738544,346994.6397917759,1214929.4990540892
05069,05,458676.77936406323,1488414.2643466475,508705.75125516846,1492017.3625790267
05071,05,233621.47190221684,1197642.0921760646,417962.14908327436,1201075.902865454
05073,05,273268.343084184,1461416.6246055504,210869.1151299867,1214609.8782541002
05075,05,298018.300015602,1242599.8070843676,183791.46038577124,1190988.9607342232
05077,05,445461.8798777471,1377583.649822981,412230.3047190375,1395694.6779121286
05079,05,338241.4841685732,1497891.5331748175,349192.56515520613,1195872.3222021207
05081,05,326391.8547763166,1178851.8860688242,444546.81066130684,1421545.6341256457
05083,05,495674.7516041625,1381952.545487478,208436.3090987194,1361902.3918237444
05085,05,309235.9377263776,1223734.4014135376,416530.03280654945,1198339.9425139306
05087,05,210181.71015231736,1227651.1232025328,282308.0764068653,1340735.0753672072
05089,05,369221.8908456735,1189873.892045047,406571.54704877944,1484912.1763761844
05091,05,321145.0749642972,1239969.5350748433,409077.4656222606,1292988.3419568005
05093,05,370410.5274291462,1117095.8693119383,374107.415148949,1197407.3330916828
05095,05,264730.3718714789,1181705.8760057876,476025.7708432255,1393507.4501856337
05097,05,207660.9879323018,1261064.0238563512,384358.1293781011,1420072.1853978683
